epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,888.516,1.06201,1.40467,1.07526,0.21012,0.21392,0.16566,0.11921,1.17834,2.12939,1.09799,0.0004654,0.0004654,0.0004654
56,905.259,1.04429,1.34706,1.05457,0.21366,0.22926,0.16728,0.11877,1.17416,2.03591,1.10624,0.0004555,0.0004555,0.0004555
57,922.442,1.0488,1.3849,1.06719,0.23143,0.20774,0.17224,0.11822,1.17468,2.03231,1.09732,0.0004456,0.0004456,0.0004456
58,937.569,1.01273,1.32021,1.0386,0.27503,0.18057,0.17339,0.12482,1.1939,2.07735,1.09825,0.0004357,0.0004357,0.0004357
59,954.262,1.04149,1.30497,1.06018,0.2247,0.21382,0.15965,0.11482,1.17062,2.12235,1.09748,0.0004258,0.0004258,0.0004258
60,969.813,1.04183,1.32057,1.05294,0.26113,0.23618,0.1826,0.13211,1.18568,2.06597,1.10243,0.0004159,0.0004159,0.0004159
61,985.125,1.04681,1.31181,1.04849,0.23191,0.23553,0.16461,0.12024,1.18767,2.1662,1.10361,0.000406,0.000406,0.000406
62,1002.28,1.02926,1.30846,1.06219,0.22835,0.25039,0.17047,0.12561,1.1627,2.09579,1.0782,0.0003961,0.0003961,0.0003961
63,1018.02,1.0091,1.28987,1.04339,0.22997,0.23264,0.17353,0.12602,1.15861,2.05744,1.09184,0.0003862,0.0003862,0.0003862
64,1034.77,1.01528,1.25354,1.04148,0.3362,0.20544,0.19457,0.13863,1.19177,2.09143,1.10812,0.0003763,0.0003763,0.0003763
65,1050.66,1.0126,1.25717,1.04081,0.21284,0.26745,0.16884,0.12396,1.16127,2.13068,1.08662,0.0003664,0.0003664,0.0003664
66,1066.54,1.02936,1.28188,1.04935,0.26051,0.18536,0.17481,0.12706,1.18011,2.06308,1.11242,0.0003565,0.0003565,0.0003565
67,1083.22,1.02299,1.27846,1.04089,0.25695,0.23619,0.18489,0.1344,1.16971,2.04915,1.09567,0.0003466,0.0003466,0.0003466
68,1096.73,1.00183,1.20685,1.03475,0.22483,0.21108,0.16149,0.11599,1.18734,2.10908,1.10883,0.0003367,0.0003367,0.0003367
69,1113.08,1.00723,1.22547,1.03179,0.22287,0.24279,0.17653,0.12842,1.17477,2.06221,1.10052,0.0003268,0.0003268,0.0003268
70,1130.16,1.02664,1.2533,1.03048,0.26597,0.19454,0.16981,0.12046,1.17929,2.06544,1.10719,0.0003169,0.0003169,0.0003169
71,1145.61,1.01646,1.23495,1.04483,0.31706,0.20878,0.18616,0.13632,1.16233,2.08486,1.10186,0.000307,0.000307,0.000307
72,1162.03,1.02364,1.23202,1.04329,0.24016,0.26814,0.18597,0.13269,1.15541,2.07037,1.10101,0.0002971,0.0002971,0.0002971
73,1177.35,0.98757,1.16694,1.03196,0.21451,0.25328,0.18029,0.12815,1.14604,2.09224,1.08977,0.0002872,0.0002872,0.0002872
74,1193.03,0.98845,1.17966,1.04227,0.22754,0.21952,0.15695,0.11249,1.16738,2.2171,1.09548,0.0002773,0.0002773,0.0002773
75,1208.42,0.97856,1.15774,1.03065,0.21327,0.25233,0.17137,0.1245,1.16791,2.09842,1.09893,0.0002674,0.0002674,0.0002674
76,1224.28,1.01734,1.16256,1.04149,0.25243,0.26266,0.18954,0.13746,1.16705,2.06304,1.10272,0.0002575,0.0002575,0.0002575
77,1238.65,0.95802,1.13266,1.02541,0.20032,0.24477,0.17535,0.12264,1.16806,2.03614,1.11165,0.0002476,0.0002476,0.0002476
78,1254.78,0.96803,1.13874,1.01996,0.20358,0.24858,0.16887,0.12038,1.17155,2.07261,1.10154,0.0002377,0.0002377,0.0002377
79,1270.55,0.98397,1.14312,1.03551,0.20292,0.21939,0.16652,0.12196,1.17305,2.11321,1.11194,0.0002278,0.0002278,0.0002278
80,1287.71,0.99101,1.16039,1.02745,0.24349,0.20583,0.16337,0.11826,1.15203,2.10202,1.0943,0.0002179,0.0002179,0.0002179
