epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1694.37,1.18797,1.25591,1.19417,0.27512,0.22874,0.18929,0.10894,1.58158,2.20879,1.29856,0.0006436,0.0006436,0.0006436
74,1716.87,1.20523,1.23163,1.19767,0.32893,0.21489,0.20905,0.12699,1.53589,2.16871,1.28625,0.00063865,0.00063865,0.00063865
75,1739.93,1.17667,1.20648,1.18994,0.20319,0.26533,0.18386,0.1082,1.59181,2.24755,1.28834,0.0006337,0.0006337,0.0006337
76,1762.84,1.2049,1.24674,1.19587,0.2632,0.26337,0.20054,0.11564,1.50258,2.20792,1.26524,0.00062875,0.00062875,0.00062875
77,1785.61,1.24071,1.24513,1.20597,0.27807,0.25978,0.19075,0.11165,1.60031,2.23648,1.2917,0.0006238,0.0006238,0.0006238
78,1808.16,1.20884,1.21709,1.19836,0.22055,0.23731,0.19771,0.11658,1.52591,2.19215,1.26358,0.00061885,0.00061885,0.00061885
79,1830.82,1.20539,1.23175,1.20006,0.24641,0.22313,0.18403,0.10901,1.52165,2.23311,1.27226,0.0006139,0.0006139,0.0006139
80,1853.64,1.21405,1.23306,1.19253,0.32753,0.19184,0.18805,0.11051,1.55122,2.16049,1.27955,0.00060895,0.00060895,0.00060895
81,1876.19,1.19168,1.20542,1.20721,0.2412,0.21308,0.18415,0.10653,1.55237,2.21672,1.26242,0.000604,0.000604,0.000604
82,1899.2,1.19615,1.19704,1.18244,0.35621,0.25013,0.19603,0.11711,1.57161,2.23039,1.29262,0.00059905,0.00059905,0.00059905
83,1921.97,1.19628,1.20632,1.18556,0.31616,0.1921,0.18062,0.1077,1.56672,2.2539,1.29929,0.0005941,0.0005941,0.0005941
84,1944.86,1.17826,1.19646,1.1937,0.25878,0.26673,0.1935,0.11247,1.54672,2.16729,1.27832,0.00058915,0.00058915,0.00058915
85,1968.11,1.19634,1.2126,1.19702,0.3362,0.21314,0.19671,0.11399,1.60082,2.17621,1.3069,0.0005842,0.0005842,0.0005842
86,1990.88,1.19674,1.18009,1.1818,0.32292,0.23376,0.19799,0.11583,1.55519,2.21759,1.28914,0.00057925,0.00057925,0.00057925
87,2013.52,1.18998,1.15002,1.18102,0.26339,0.22857,0.18421,0.10343,1.65375,2.28513,1.32597,0.0005743,0.0005743,0.0005743
88,2036.09,1.20388,1.1675,1.17702,0.24574,0.23857,0.18087,0.10659,1.59616,2.24031,1.29947,0.00056935,0.00056935,0.00056935
89,2059.12,1.16427,1.12383,1.17137,0.25771,0.24287,0.20048,0.11724,1.58118,2.26219,1.2853,0.0005644,0.0005644,0.0005644
90,2082.69,1.16831,1.1161,1.1793,0.27716,0.19082,0.17745,0.10651,1.53661,2.28646,1.26027,0.00055945,0.00055945,0.00055945
91,2105.33,1.18129,1.12404,1.17749,0.36784,0.19939,0.19687,0.11636,1.53441,2.19905,1.27725,0.0005545,0.0005545,0.0005545
92,2129.5,1.17414,1.13706,1.18764,0.29206,0.18213,0.17894,0.1044,1.55282,2.21304,1.27177,0.00054955,0.00054955,0.00054955
93,2152.56,1.17457,1.10642,1.17276,0.29447,0.25478,0.20715,0.12121,1.57391,2.17437,1.29596,0.0005446,0.0005446,0.0005446
94,2175.38,1.17804,1.12202,1.16945,0.2836,0.20296,0.18408,0.10677,1.6142,2.26243,1.29386,0.00053965,0.00053965,0.00053965
95,2198.03,1.14826,1.08924,1.16684,0.23874,0.24577,0.17676,0.10531,1.53762,2.31824,1.2751,0.0005347,0.0005347,0.0005347
96,2220.72,1.15756,1.07456,1.16815,0.29308,0.22306,0.20616,0.12228,1.54805,2.22048,1.28654,0.00052975,0.00052975,0.00052975
97,2243.82,1.18008,1.11752,1.18678,0.32987,0.24069,0.20169,0.11681,1.59853,2.18746,1.2901,0.0005248,0.0005248,0.0005248
98,2266.57,1.1511,1.10774,1.16788,0.25589,0.22364,0.1858,0.11169,1.52294,2.21422,1.25536,0.00051985,0.00051985,0.00051985
99,2289.46,1.15467,1.08194,1.15858,0.29759,0.23971,0.18847,0.10938,1.54836,2.26586,1.27638,0.0005149,0.0005149,0.0005149
100,2312.35,1.14979,1.07785,1.16798,0.29281,0.21596,0.19514,0.11466,1.5604,2.20561,1.26723,0.00050995,0.00050995,0.00050995
101,2335.27,1.16946,1.10479,1.16969,0.27861,0.25465,0.20824,0.12706,1.48372,2.19243,1.24946,0.000505,0.000505,0.000505
102,2358.1,1.17058,1.08434,1.17568,0.26733,0.23926,0.19383,0.11424,1.55635,2.25569,1.28013,0.00050005,0.00050005,0.00050005
103,2381.51,1.16247,1.10099,1.18074,0.24737,0.24228,0.19052,0.10879,1.57535,2.22996,1.29352,0.0004951,0.0004951,0.0004951
104,2404.52,1.17379,1.10099,1.1717,0.23535,0.24532,0.18656,0.1092,1.56771,2.28291,1.28187,0.00049015,0.00049015,0.00049015
105,2427.35,1.17217,1.09113,1.17012,0.24193,0.23189,0.18968,0.11172,1.54246,2.25512,1.26998,0.0004852,0.0004852,0.0004852
106,2450.38,1.15185,1.07195,1.16283,0.2894,0.24962,0.1987,0.11778,1.54081,2.26088,1.28205,0.00048025,0.00048025,0.00048025
107,2473.07,1.15311,1.07159,1.16955,0.27572,0.2596,0.19781,0.11083,1.61816,2.30497,1.30715,0.0004753,0.0004753,0.0004753
108,2495.8,1.1418,1.03955,1.15724,0.27714,0.22085,0.1879,0.10729,1.61401,2.28063,1.31253,0.00047035,0.00047035,0.00047035
109,2518.59,1.13869,1.03834,1.15882,0.23208,0.27828,0.20903,0.12137,1.58467,2.22511,1.30493,0.0004654,0.0004654,0.0004654
110,2541.51,1.14133,1.03063,1.15345,0.25766,0.24608,0.19224,0.11078,1.5477,2.23593,1.28307,0.00046045,0.00046045,0.00046045
111,2564.22,1.12949,1.01589,1.14548,0.33457,0.20492,0.19712,0.11523,1.56616,2.23221,1.28381,0.0004555,0.0004555,0.0004555
112,2586.97,1.13557,1.03838,1.15855,0.22284,0.25958,0.19436,0.11207,1.59585,2.24657,1.29832,0.00045055,0.00045055,0.00045055
113,2610.05,1.12704,0.99763,1.13973,0.25551,0.27868,0.2039,0.11988,1.50805,2.31589,1.26168,0.0004456,0.0004456,0.0004456
114,2632.92,1.13981,1.0219,1.1388,0.26067,0.26846,0.19927,0.11863,1.54954,2.25991,1.2749,0.00044065,0.00044065,0.00044065
115,2655.9,1.10761,1.00759,1.14668,0.25925,0.24061,0.19588,0.1196,1.53085,2.23593,1.25056,0.0004357,0.0004357,0.0004357
116,2678.45,1.13862,1.01292,1.13914,0.33891,0.23764,0.20696,0.1207,1.54204,2.23043,1.26207,0.00043075,0.00043075,0.00043075
117,2701.03,1.09752,0.96542,1.1342,0.31522,0.24933,0.20978,0.12086,1.5713,2.20869,1.27999,0.0004258,0.0004258,0.0004258
118,2723.92,1.11729,0.98035,1.12825,0.30996,0.22907,0.20554,0.11766,1.61956,2.31807,1.29547,0.00042085,0.00042085,0.00042085
119,2746.71,1.12928,1.00372,1.15181,0.30846,0.22797,0.2142,0.12638,1.55715,2.26993,1.26302,0.0004159,0.0004159,0.0004159
120,2769.67,1.12005,0.99204,1.13244,0.25711,0.20456,0.17527,0.10138,1.54205,2.31898,1.27453,0.00041095,0.00041095,0.00041095
121,2792.37,1.13894,0.98648,1.13248,0.28161,0.2151,0.20014,0.11544,1.57699,2.24835,1.2812,0.000406,0.000406,0.000406
122,2815.5,1.12199,0.9924,1.13944,0.33175,0.23359,0.19739,0.11679,1.54051,2.27474,1.27395,0.00040105,0.00040105,0.00040105
123,2838.4,1.09875,0.98391,1.1359,0.30326,0.20179,0.18984,0.11466,1.52096,2.25542,1.24827,0.0003961,0.0003961,0.0003961
124,2861.05,1.11265,0.96275,1.12263,0.26146,0.23412,0.19076,0.11784,1.51478,2.25768,1.25234,0.00039115,0.00039115,0.00039115
125,2883.77,1.10864,0.95502,1.13808,0.26521,0.23903,0.19402,0.11518,1.57566,2.32431,1.29134,0.0003862,0.0003862,0.0003862
126,2906.68,1.10882,0.97134,1.13095,0.25524,0.23034,0.19197,0.11517,1.51014,2.31432,1.25545,0.00038125,0.00038125,0.00038125
127,2929.37,1.12753,0.96448,1.12751,0.34276,0.22085,0.21761,0.12445,1.59858,2.2538,1.27723,0.0003763,0.0003763,0.0003763
128,2952.16,1.12475,0.98087,1.13974,0.33397,0.23078,0.21038,0.12576,1.53642,2.24749,1.26824,0.00037135,0.00037135,0.00037135
129,2974.78,1.1034,0.94753,1.13118,0.26525,0.23451,0.19281,0.11044,1.55299,2.30312,1.27354,0.0003664,0.0003664,0.0003664
130,2997.77,1.11867,0.96752,1.13675,0.31972,0.21578,0.19801,0.11452,1.60382,2.30901,1.30241,0.00036145,0.00036145,0.00036145
131,3020.48,1.13155,0.98109,1.13181,0.31465,0.2405,0.20905,0.12044,1.54808,2.27538,1.27476,0.0003565,0.0003565,0.0003565
